"year" "statefip" "pop_nedus_stem_grad" "emp_nedus_stem_grad" "pop_nedus_stem_coll" "emp_nedus_stem_coll" "pop_edus_stem_grad" "emp_edus_stem_grad" "pop_edus_stem_coll" "emp_edus_stem_coll" "pop_nedus_grad" "pop_edus_grad" "pop_nedus_coll" "pop_edus_coll" "emp_nedus_grad" "emp_edus_grad" "emp_nedus_coll" "emp_edus_coll" "emp_native_coll" "emp_native_grad" "emp_immig_coll" "emp_immig_grad" "emp_total_coll" "emp_total_grad" "emp_native" "emp_immig" "emp_total" "pop_native_coll" "pop_native_grad" "pop_immig_coll" "pop_immig_grad" "pop_native" "pop_immig" "pop_total"
2010 19 2307.50836666667 1531.8138 2664.65883333333 1888.96426666667 0 0 805.441833333333 805.441833333333 8562.5025 9043.22506666667 23370.3234 11569.8846 6550.13876666667 6695.55423333333 15449.2779666667 9222.21376666667 349694.028866666 87607.7637666667 24671.4917333333 13245.693 374365.5206 100853.456766667 1240634.2084 94142.5385666667 1334776.74696667 439481.369666666 104972.923466667 34940.208 17605.7275666667 1804291.77513333 140296.967666667 1944588.7428
2000 20 1841.96123333333 1841.96123333333 1841.96123333333 1841.96123333333 483.815866666667 0 483.815866666667 0 10851.9051 8861.71276666667 20905.5697666667 14311.4022333333 6065.24846666667 6442.2999 10020.4274333333 10025.1427 291460.914066667 81240.9303 20045.5701333333 12507.5483666667 311506.4842 93748.4786666666 1079745.2809 76145.3555666667 1155890.63646667 380462.7026 109154.0911 35216.972 19713.6178666667 1545882.634 119018.603766667 1664901.23776667
2001 20 2827.19536666667 2827.19536666667 3449.69633333333 3449.69633333333 527.298666666667 0 1213.3128 0 9842.1403 4745.42756666667 20435.275 8583.62993333333 7583.71613333333 2861.60253333333 13919.9229 3975.82013333333 324601.0169 96455.0974 17895.7430333333 10445.3186666667 342496.759933333 106900.416066667 1078082.0654 72213.8842 1150295.9496 422659.645866667 123689.147866667 29018.9049333333 14587.5678666667 1564830.09313333 112350.204466667 1677180.2976
2002 20 2561.07966666667 2561.07966666667 3830.62006666667 3830.62006666667 789.656666666667 789.656666666667 789.656666666667 789.656666666667 10358.9260333333 6218.61236666667 19079.5188666667 10821.7242 7130.59446666667 4906.83696666667 11939.9354 8214.87003333333 324635.0942 98212.1284 20154.8054333333 12037.4314333333 344789.899633334 110249.559833333 1095135.11253333 86172.8755333333 1181307.98806667 417467.0185 120349.601766667 29901.2430666667 16577.5384 1606960.34026667 127945.795433333 1734906.1357
2003 20 403.615533333333 403.615533333333 1572.7293 1572.7293 1689.98863333333 1689.98863333333 2158.69436666667 2158.69436666667 10488.6693 8700.97583333333 20689.7476666667 17081.5564333333 6377.52456666667 7634.8036 11426.6791666667 11476.9006333333 335107.625866667 108368.073433333 22903.5798 14012.3281666667 358011.205666667 122380.4016 1084733.68266667 75231.9188666667 1159965.60153333 435642.018966667 133607.112333333 37771.3041 19189.6451333333 1610393.35103333 122620.372466667 1733013.7235
2004 20 915.847033333333 915.847033333333 2435.03716666667 2435.03716666667 534.878933333333 534.878933333333 875.080466666667 875.080466666667 13267.2331333333 8725.27073333333 26786.4004 15308.7276666667 8714.57213333333 6720.36543333333 16164.5919 12048.2971333333 329303.960433334 99901.6229333333 28212.8890333333 15434.9375666667 357516.849466667 115336.5605 1098122.18203333 80083.7195333334 1178205.90156667 437758.9838 130787.508266667 42095.1280666667 21992.5038666667 1618857.96693333 125513.564733333 1744371.53166667
2005 20 2472.2817 2472.2817 3345.7082 3345.7082 1435.79016666667 1435.79016666667 1767.9611 1767.9611 10111.6742 6672.24346666667 26787.8181 11736.1420333333 6794.39283333333 4297.53353333333 17791.4056 8184.43186666667 339415.119866666 97770.9013666666 25975.8374666667 11091.9263666667 365390.957333333 108862.827733333 1092819.3993 74388.4747 1167207.874 456212.8232 131170.741333333 38523.9601333333 16783.9176666667 1639846.90013333 114485.437233333 1754332.33736667
2006 20 3941.20536666667 3941.20536666667 3941.20536666667 3941.20536666667 2525.95656666667 2525.95656666667 2824.3981 2824.3981 12500.3275333333 8226.81986666667 25703.9611333333 14819.691 10684.4974 7481.8054 17952.4948666667 13456.8347666667 343213.168866667 99616.9823 31409.3296333333 18166.3028 374622.4985 117783.2851 1103490.8136 84383.2555333333 1187874.06913333 463001.722833334 128408.9449 40523.6521333333 20727.1474 1650574.06423333 121607.098866667 1772181.1631
2007 20 3113.9329 3113.9329 3669.77053333333 3669.77053333333 1148.94873333333 1148.94873333333 1692.54463333333 1692.54463333333 14915.2844333333 12838.5284 25173.5026333333 19259.0093 11859.7184333333 11523.7904666667 17801.7879 17033.7772666667 356541.4691 112067.165533333 34835.5651666667 23383.5089 391377.034266666 135450.674433333 1130816.16236667 93710.1467333333 1224526.3091 469558.934566666 140059.077 44432.5119333333 27753.8128333333 1635181.6078 131512.3001 1766693.9079
2008 20 1900.23383333333 1406.99586666667 2481.83326666667 1988.5953 1492.55716666667 1492.55716666667 2519.59343333333 2519.59343333333 7536.2552 6988.34926666667 19676.7712666667 16169.9307666667 4284.785 6988.34926666667 11091.1811 14472.8472333333 367662.0755 114399.060933333 25564.0283333333 11273.1342666667 393226.103833334 125672.1952 1143588.61 84234.315 1227822.925 477380.395366667 147686.2095 35846.7020333333 14524.6044666667 1671030.42966667 121591.319233333 1792621.7489
2009 20 1842.02783333333 1842.02783333333 1842.02783333333 1842.02783333333 1385.9881 1385.9881 1874.3347 1874.3347 14329.7788666667 6220.46773333333 26959.2598333333 12980.8596333333 10604.227 4757.46606666667 18032.3654 9655.7806 359190.456833333 111338.633766667 27688.146 15361.6930666667 386878.602833333 126700.326833333 1108621.14566667 92680.1264666667 1201301.27213333 483262.013 144963.712233333 39940.1194666667 20550.2466 1681749.12033333 138164.753666667 1819913.874
2010 20 2887.57823333333 2887.57823333333 3361.71503333333 3361.71503333333 0 0 520.924866666667 520.924866666667 13796.8953 6608.4025 24359.5341666667 13559.8979333333 11494.9673333333 2948.2802 16858.7741 9448.6594 384977.860833333 128921.045533333 26307.4335 14443.2475333333 411285.294333333 143364.293066667 1097582.46346667 74289.4868666667 1171871.95033333 505014.629966667 166947.310166667 37919.4321 20405.2978 1680986.5707 124302.233666667 1805288.80436667
2000 21 1517.95206666667 1517.95206666667 3366.0893 3366.0893 710.9704 710.9704 1549.4028 1549.4028 7224.45096666667 3048.29436666667 14942.4647666667 3886.72676666667 5745.55476666667 3048.29436666667 11380.6926333333 3886.72676666667 360800.865333333 132793.9306 15267.4194 8793.84913333333 376068.284733333 141587.779733333 1593682.1868 76479.3635333333 1670161.55033333 469008.966633333 175169.9367 18829.1915333333 10272.7453333333 2502840.3118 103818.114933333 2606658.42673333
2001 21 812.350733333333 812.350733333333 1403.571 1403.571 1615.41936666667 1615.41936666667 1615.41936666667 1615.41936666667 6423.6754 3919.6606 14426.8379 9682.36306666667 5775.6948 2398.51746666667 11545.6349666667 6501.19773333333 363169.2532 133706.652633333 18046.8327 8174.21226666667 381216.0859 141880.8649 1547716.30413333 49751.5343666667 1597467.8385 481229.8906 185686.370666667 24109.2009666667 10343.336 2505911.43166667 78355.6987666667 2584267.13043333
2002 21 2219.485 2219.485 2219.485 2219.485 0 0 0 0 10482.0923666667 4098.17133333333 20006.6120666667 13340.4926333333 8308.88616666667 2865.88796666667 13420.7037 9997.3899 350579.209566667 134972.066633333 23418.0936 11174.7741333333 373997.303166667 146146.840766667 1542115.5952 53823.4087 1595939.0039 469022.185933333 181812.168533333 33347.1047 14580.2637 2495427.64643333 78305.0939666667 2573732.7404
2003 21 1557.21503333333 1557.21503333333 1557.21503333333 1557.21503333333 783.6144 783.6144 1444.1388 1444.1388 6871.76443333333 6528.3759 17382.8833 12187.7448 4557.61413333333 3777.2555 11918.9708666667 9436.6244 366385.845766667 127863.565 21355.5952666667 8334.86963333333 387741.441033334 136198.434633333 1596132.87643333 46468.0111666667 1642600.8876 477595.4301 165652.066866667 29570.6281 13400.1403333333 2599648.808 69042.1293 2668690.9373
2004 21 1801.35023333333 1801.35023333333 4512.60373333333 3897.16816666667 0 0 540.860166666667 540.860166666667 7004.7116 2257.27773333333 20652.2361333333 4738.99686666667 4859.66666666667 2257.27773333333 12686.5781666667 4738.99686666667 368262.113466666 126408.001133333 17425.5750333333 7116.9444 385687.6885 133524.945533333 1575811.71133333 69482.5427 1645294.25403333 483235.420833333 169179.185666667 25391.233 9261.98933333333 2555300.53663333 93273.226 2648573.76263333
2005 21 3595.8115 3595.8115 4376.41743333333 4376.41743333333 1095.3919 1095.3919 1781.73473333333 1781.73473333333 12449.0746333333 4851.5796 24316.5631333333 9850.6746 7977.33136666667 2500.9568 14834.9894666667 6246.19513333333 370356.8274 140237.049666667 21081.1846 10478.2881666667 391438.012 150715.337833333 1576838.08296667 60568.3085333333 1637406.3915 478349.9291 178300.2803 34167.2377333333 17300.6542333333 2607663.6207 92627.4471666667 2700291.06786667
